Z,OV,T,V,C
45,92.02990313271201,1.161898201,315,1257
90,81.14386594392666,1.149535199,630,4157
150,91.555363132712,1.289968001,1050,10072
225,81.28339387536309,4.560761199,1575,20427
315,85.95416453831935,8.474154499,2205,36887
420,86.82212719466115,45.463740299,2940,61357
540,87.23582968338695,210.547974101,3780,95982
675,87.55761038482866,584.383956401,4725,143147
825,86.65664700506939,1008.7022484,5775,205477
990,85.74695875420731,5214.8552186,6930,285837
1170,88.51755646084716,5090.385540801,8190,387332
1365,88.64166685837692,11417.800401799,9555,513307
1575,88.19186984337607,17943.937802001,11025,667347
1800,0,0,12600,853277
2040,0,0,14280,1075162
2295,0,0,16065,1337307
2565,0,0,17955,1644257
2850,0,0,19950,2000797
3150,0,0,22050,2411952
