Z,OV,T,V,C
16,322.22963674767004,5.163205301,400,1032
22,322.22963674766993,5.2619556,550,1523
34,322.22963674767004,7.1552959,850,2800
61,322.22963674767004,6.9144352,1525,6930
54,321.6890272689925,9.4892152,1350,4946
57,322.22963674766993,9.1715803,1425,4996
66,322.22963674766993,12.2907941,1650,6060
85,322.2296367476701,9.2135778,2125,9266
92,322.22963674767,33.176688401,2300,10180
97,322.2296367476698,10.5223767,2425,10896
104,322.2296367476698,15.6077871,2600,12134
99,322.2296367476699,11.01095,2475,10420
109,322.2296367476698,12.794399001,2725,11091
112,322.22963674766993,13.2122828,2800,11501
125,322.22963674767,17.5557816,3125,14269
132,322.2296367476702,88.2998379,3300,15483
126,322.2296367476701,18.3662155,3150,12830
140,322.22963674766976,22.2892203,3500,15649
139,322.22963674767,33.9279423,3475,14799
